Song Title,Lyrics,URL,Processed_Lyrics,Lyricist,composer,year,Sentiment_BERT,Emotion,Top_TFIDF_Word
عكس اللي شايفينها ,"عكس اللي شايفينها
عكس اللي شايفينها
عكس اللي شايفينها
و قالوا سعيدة في حياتها
واصلة لكل أحلامها
وباينة عليها فرحتها
في ضحكتها وفي كلامها
وعايشة كأنها في جنة
وكل الدنيا مالكاها
وقالوا عنيدة وقوية
مبيأثرش شئ فيها
محدش في الحياة يقدر
يمشي كلمته عليها
هتحلم ليه وتتمنى؟
مفيش ولا حاجة ناقصاها
ومن جوايا انا عكس اللي شايفينها
وع الجرح اللي فيها ربنا يعينها
ساعات الضحكة بتداري في جرح كبير
ساعات في حاجات مبنحبش نبيّنها
كتير انا ببقى من جوايا بتألِّم
ومليون حاجة كاتماها بتوجعني
بيبقى نفسي أحكي لحد وأتكلم
وعزّة نفسي هيّا إللي بتمنعني
سنين وأنا عايشة في مشاكلي
وبعمل اني ناسياها
وحكموا عليّا من شكلي
ومن العيشة إللي عايشاها
أنا أوقات أبان هادية
ومن جوايا نار قايدة
ولو يوم اللي حسدوني
يعيشوا مكاني لو ثانية
ولو شافوا اللي أنا شفته
هيتمنوا حياة تانية
ولو أحكي عن اللي انا فيه
هتفرق ايه؟ ايه الفايدة!
فتاة شرقيه
عكس اللي شايفينها",https://lyricstranslate.com/en/elissa-aaks-elli-shayfenha-lyrics.html,"عكس
الى
شيف
عكس
الى
شيف
عكس
الى
شيف
قال
سعد
فى
حيت
وصل
لكل
حلم
وبي
عليها
فرح
فى
ضحك
وفى
كلم
عيش
كان
فى
جنه
وكل
دنا
الك
وقل
عند
وقي
مبياثرش
شئ
حدش
فى
حيه
قدر
مشى
كلم
عليها
هتحلم
ليه
منى
فيش
حجه
نقص
جوا
انا
عكس
الى
شيف
وع
جرح
الى
ربن
يعن
ساع
ضحك
درى
فى
جرح
كبر
ساع
فى
حاج
مبنحبش
نبن
كتر
انا
بقى
جوا
تلم
ومل
حجه
كتم
جعنى
بقى
فسى
حكى
لحد
كلم
وعز
فسى
الى
عنى
سنن
ونا
عيش
فى
مشاكلى
عمل
انى
نسي
حكم
علا
شكلى
عيش
الى
عيش
انا
اوق
ابن
هدي
جوا
نار
قيد
يوم
الى
حسدونى
يعش
كنى
ثني
شاف
الى
انا
شفت
هيتم
حيه
انه
حكى
الى
انا
هتفرق
ايه
ايه
فيد
فته
شرق
عكس
الى
شيف",امير طعيمه,وليد سعد,2016,neutral,joy,الى
على حس حكايتنا,"على حس حكايتنا
على حس حكايتنا
على حس حكايتنا
في ذكريات عايشة معانا لحد نهايتنا
وتعبت أعيش في البعد أنا... على حس حكايتنا
يرضيك تغيب وأغيب ونبقى نهينا دنيتنا
قولي أعمل إيه
وده يرضي مين إن الغرام يصبح خلاص ماضي
كذب اللي قال بعد الفراق... هنسى وهعيش عادي
يا حبيبي أنا إرجع عشان عايزاك هنا قصادي
ليه تسيبني ليه
لالا إزاي ناسيني ولالا
لالا آه يا ضي عيني ليه عايزني أنساك
فينك غايب عليا... فينك واحش عينيا
ليه تنسى زمان
ياما بعدك تعبني وياما
ياما دي الفرقة سايبة علامة
فينك غايب عليا... فينك واحش عينيا
ليه تنسى زمان
بسرح كتير واسأل في نفسي ازاي تودعني
ويا رب خير أو صدفة أقابلك فيها تسمعني
أصل إنت غير فا بلاش تسيب الفرقة توجعني
بعدك ماليش
مش قلت عني إنك مافيش عندك غيري حبيبة
بتحب حد تسيبه ليه دي الدنيا دي غريبة
أنا ليل نهار بستنى تيجي نعوض الغيبة
ومعاك أعيش
على حس حكايتنا",https://lyricstranslate.com/en/elissa-%D8%B9%D9%84%D9%89-%D8%AD%D8%B3-%D8%AD%D9%83%D8%A7%D9%8A%D8%AA%D9%86%D8%A7-lyrics.html,"حس
حكي
حس
حكي
حس
حكي
فى
ذكر
عيش
معا
لحد
نهي
تعب
اعش
فى
بعد
انا
حس
حكي
يرض
تغب
اغب
بقى
نهي
دنت
قولى
عمل
ايه
وده
رضى
مين
ان
غرم
صبح
خلص
اضى
كذب
الى
قال
فرق
هنسى
هعش
عدى
حبيبى
انا
رجع
عشن
عيز
قصدى
ليه
بنى
ليه
للا
ازى
ينى
ولل
للا
اه
ضى
عينى
ليه
عايزنى
ساك
فين
غيب
علا
فين
وحش
عين
ليه
نسى
زمن
يما
بعد
عبنى
ويا
يما
دى
فرق
سيب
علم
فين
غيب
علا
فين
وحش
عين
ليه
نسى
زمن
سرح
كتر
اسل
فى
فسى
ازى
دعنى
ويا
رب
خير
او
صدف
قبل
عنى
اصل
انت
فا
بلش
تسب
فرق
جعنى
بعد
الش
مش
قلت
عنى
انك
افش
عند
غيرى
حبب
تحب
حد
تسب
ليه
دى
دنا
دى
غرب
انا
ليل
نهر
تنى
يجى
نعض
غيب
ومع
اعش
حس
حكي",رامى جمال,رامى جمال,2020,neutral,neutral,ليه
على دربك,"على دربك
على دربك
على دربك
على دربك على قدرك
خطوة وخطوة تمشي
والنجمة الليلة بعرسك
بإيدك تقلب كمشة
على دربك على قدرك
خطوة وخطوة تمشي
والنجمة الليلة بعرسك
بإيدك تقلب كمشة
يا رب انت السامع
صوتي لصوبك طالع
بدعي لأغلى انسانة
يا ربي انت العاطي
الليلة بتسمع دعواتي
فرحك تحضن إيماني
مندورة أيامك
للورد وللياسمين
يا عروسة أحلامي
يا أميرة هالحلوين
مندورة أيامك
للحب وأحلى سنين
يا عروسة أحلامي
يا أميرة هالحلوين
يا حنونة ونسم الريح
عالكل وجودك نعمة
دللتي بعطفك بيك
غيرتي حياتي يا امي
يا حنونة ونسم الريح
عالكل وجودك نعمة
دللتي بعطفك بيك
غيرتي حياتي يا امي
على دربك على قدرك
خطوة وخطوة تمشي
والنجمة يا بنتي بعرسك
بإيدك تقلب كمشة
على دربك",https://lyricstranslate.com/en/elissa-ala-darbek-lyrics.html,"درب
درب
درب
درب
قدر
خطه
خطو
مشى
نجم
يله
عرس
بيد
قلب
كمش
درب
قدر
خطه
خطو
مشى
نجم
يله
عرس
بيد
قلب
كمش
رب
انت
سمع
صوتى
لصب
طلع
دعى
غلى
سان
ربى
انت
عطى
يله
سمع
دعواتى
فرح
تحض
انى
ندر
يمك
ورد
يسم
عرس
حلمى
امر
هالحلو
ندر
يمك
لحب
حلى
سنن
عرس
حلمى
امر
هالحلو
حنن
نسم
ريح
عالكل
وجد
نعم
دلتى
عطف
بيك
غيرتى
حيتى
امى
حنن
نسم
ريح
عالكل
وجد
نعم
دلتى
عطف
بيك
غيرتى
حيتى
امى
درب
قدر
خطه
خطو
مشى
نجم
نتى
عرس
بيد
قلب
كمش
درب",مروان خورى,مروان خورى,2023,negative,joy,قلب
عم ثور,"عم ثور
عم ثور
عم ثور
عم ثور تا قلك انا يا هالوطن امك
اختك انا ورفيقتك وبقلبي عم ضمك
واللي بساحات الغضب نزلو ما بدن غير
إلا بإيدن يمسحو عنك وجع همك
ومنثور تانقلك خلص عن جد بكفي
جايين تحساب الظلم بقلوبنا نصفي
بدنا وطنا يكون ع قياس كل الناس
وولادنا بقلب الوطن مشوارها تكفي
نحنا اللي ثورتنا غضب ثورة شعب جبار
ثورة بوج اللي اعتدا ع الحق والاحرار
وكتار بحجم الوطن عشنا على الاصرار
وتا ما وطنا ينحني صار الشعب ثوار
عم ثور",https://lyricstranslate.com/en/elissa-%D8%B9%D9%85-%D8%AB%D9%88%D8%B1-lyrics.html,"عم
ثور
عم
ثور
عم
ثور
عم
ثور
تا
قلك
انا
هلط
امك
اخت
انا
رفق
قلبى
عم
ضمك
ولى
بسح
غضب
زلو
بدن
الا
بيد
سحو
عنك
وجع
همك
نثر
نقل
خلص
جد
كفى
جين
حسب
ظلم
قلب
صفى
بدن
وطن
يكون
قيس
ناس
ولد
قلب
وطن
شور
كفى
نحن
الى
ثور
غضب
ثور
شعب
جبر
ثور
بوج
الى
عدا
لحق
حرر
كتر
حجم
وطن
عشن
صرر
وتا
وطن
حنى
شعب
ثور
عم
ثور",سهام الشعشاع,محمد رحيم,2019,neutral,anger,قلب
عمر جديد,"عمر جديد
عمر جديد
عمر جديد
الحاجات دى جديدة عليا
واللى انا عايشاة
حب عمره ما عدي عليا
وكنت مش عارفاه
دي كل كلمه حب يقولها
عندي عمر جديد
خدنى من الدنيا دي
بحالها لدنيا تانيه بعيد
لو نام عيني ما بينامو
واصحي وافكر في كلامه
واحضن بايديا سلامه من لهفه قلبي عليه
ده انا حاسه بحاجه غريبه حب وحنيه وطيبه
بتمني اكونله حبيبه زي الي بيحلم بيه
لما ثانيه بيبعد عنى روحي تجري وراه
قلبي ياما ليالي خاصمني قبل ما ابقي معاه
هو اهلي وكل حبايبي مش حبيب وخلاص
لما يبقي في حضني وجنبي بنسى كل الناس
لو نام عيني ما بينامو
واصحي وافكر في كلامه
واحضن بايديا سلامه من لهفه قلبي عليه
اة حاسة بحاجة غريبة
حب وحنية وطيبه
بتمني اكونله حبيبه
زي الي بيحلم بيه
عمر جديد",https://lyricstranslate.com/en/elissa-omr-gedid-lyrics.html,"عمر
جدد
عمر
جدد
عمر
جدد
حاج
دى
جدد
علا
ولى
انا
عيش
حب
عمر
عدى
علا
وكن
مش
عرف
دى
كلم
حب
يقل
عندى
عمر
جدد
خدنى
دنا
دى
بحل
لدن
انه
بعد
نام
عينى
نمو
صحى
فكر
فى
كلم
وحض
بيد
سلم
لهف
قلبى
ده
انا
حسه
بحج
غرب
حب
وحن
وطب
منى
كونل
حبب
زى
الى
حلم
بيه
ثني
بعد
عنى
روحى
جرى
وره
قلبى
يما
يلى
خاصمنى
بقى
عاه
هلى
وكل
حبايبى
مش
خلص
بقى
فى
حضنى
جنبى
نسى
ناس
نام
عينى
نمو
صحى
فكر
فى
كلم
وحض
بيد
سلم
لهف
قلبى
اه
حسه
بحج
غرب
حب
وحن
وطب
منى
كونل
حبب
زى
الى
حلم
بيه
عمر
جدد",امير طعيمه,محمد يحيى,2014,negative,fear,كلم
عمري ابتدا,"عمري ابتدا
عمري ابتدا
عمري ابتدا
عمرى ابتدا لما قلبي لقاك
و اتمني أكمِّل حياتي معاك
هتكون حبيبي هنا أو هناك
هتفضل عينيا تشوفك ملاك
احنا الليلادي هننسى اللي فات
والماضي كله هنعتبره مات
ده الحب بينّا يتقال في حكايات
و نعمل بإحساسنا بيه معجزات
فين هلاقي تاني
حبيب مشاعره مطمناني
يا حبيبي ده انت في الدنيا جيت
علشان قلبك يبقى عشاني
عمري ما هبعد و أسيبك وحيد
أو يبقي عن قلبي قلبك بعيد
هنعيش حياتنا بإحساس جديد
عشان تبقي دايماً معايا سعيد
فين هلاقي تاني
حبيب مشاعره مطمناني
يا حبيبي ده انت في الدنيا جيت
علشان قلبك يبقى عشاني
عمرى ابتدا لما قلبي لقاك
و اتمني أكمِّل حياتي معاك
هتكون حبيبي هنا أو هناك
هتفضل عينيا تشوفك ملاك
عمري ابتدا",https://lyricstranslate.com/en/elissa-omry-ebtada-lyrics.html,"عمرى
بدا
عمرى
بدا
عمرى
بدا
عمرى
بدا
قلبى
لقك
منى
كمل
حيتى
عاك
هتك
حبيبى
او
هتفضل
عين
تشف
لاك
احن
لدى
هنسى
الى
فات
اضى
كله
هنعتبر
مات
ده
لحب
بين
تقل
فى
حكي
عمل
حسس
بيه
عجز
فين
هلقى
تنى
شعر
مطمنانى
حبيبى
ده
انت
فى
دنا
جيت
علش
قلب
بقى
عشنى
عمرى
هبعد
اسب
وحد
او
بقى
قلبى
قلب
بعد
هنعيش
حيت
حسس
جدد
عشن
بقى
داي
معا
سعد
فين
هلقى
تنى
شعر
مطمنانى
حبيبى
ده
انت
فى
دنا
جيت
علش
قلب
بقى
عشنى
عمرى
بدا
قلبى
لقك
منى
كمل
حيتى
عاك
هتك
حبيبى
او
هتفضل
عين
تشف
لاك
عمرى
بدا",احمد الجندى,مدين,2016,negative,sadness,حبيبى
عيشة و السلام,"عيشة و السلام
عيشة و السلام
عيشة و السلام
أَهِى يَلَّا عَيِشَه وِالسَّلَامْ
دَا كُتْر الْكَلَامْ
وَيَّاهْ مَبِيأَثَرْشْ و بَقُولْ زَىِّ بَعْضُه
أَنَا عَارفَه لِيه بَصْبُرْ عَلِيه عَشَانْ فَاكْرَه لِيه
أَيَّامْ وعَشِرَه وَ حُبّْ وَ حَاجَاتْ حَلْوَه بَرْضُه
اهى يلاعيشه والسلام
ده كتر الكلام
وياه مبيأثرش وبقول زى بعضه
انا عارفه ليه بصبر عليه عشان فاكره ليه
ايام وعشره وحب وحاجات حلوه برضه
مَعَ نَفْسِى بَسْتَحْمِلْ كِتِيرْ وُ بَسْكُتْ وُأَهاودُه
مَعَ نَفْسِى بَبْنِى كُلَّ حَلْمِ بَخَافْ يِهدُه
وِانْ شُوفْتِ يُومْ لِلْبُعْدِ بِينَّا طَرِيقْ بَسِدُه
عَنْ تَعْبِى دَا وْ حِيرْتِى عَيْنَيَّا مُغَمَّضَهَا
وِلَوْ اِلْحَيَاه وَيَّاهَا إِيهْ مُسْتَصْعَبهَا
دِى مُشْ هَتِبْقَى اصْعَبْ مِ إِلِّى أَعْيِشْهَا بَعَدُه
مَالِيشْ إِرَادَه فى حُبِّى لِيه وِ فِى ايِدَيَّا إِيه
غِيرِ انِّ أَسْتَحْمِلْ وَ ادَرْ إِيهْ مَهْمَا يِجْرَى
مَقْدَرْشْ أَنَا أَعْمِلْ زَيِّ نَاسْ بِيِنْسُوا خَلَاصْ
مَقْدَرْشْ أَنَا اتْخَيِّلْ أَعْيِشْ مَعَ غِيرُه بُكْرُه
مع نفسى بستحمل كتير وبسكت واهاوده
مع نفسى ببنى كل حلم بخاف يهده
وان شوفت يوم للبعد بينا طريق بسده
عن تعبى ده وحيرتى عنيا مغمضه
ولو الحياه وياها ايه مستصعبها
دى مش هتبقى اصعب من الى اعيشها بعده
عيشة و السلام",https://lyricstranslate.com/en/elissa-aisha-welsalam-lyrics.html,"عيش
سلم
عيش
سلم
عيش
سلم
اهى
يلا
عيش
سلم
دا
كتر
كلم
ويه
مبياثرش
بقل
زى
بعض
انا
عرف
ليه
صبر
عشن
فكر
ليه
ايم
عشر
حب
حاج
حله
برض
اهى
اعش
سلم
ده
كتر
كلم
ويه
مبياثرش
بقل
زى
بعض
انا
عرف
ليه
صبر
عشن
فكر
ليه
ايم
عشر
وحب
وحج
حله
برض
فسى
حمل
كتر
بسك
هود
فسى
بنى
حلم
بخف
يهد
وان
شوف
يوم
بعد
بين
طرق
بسد
عبى
دا
حيرتى
عين
غمض
حيه
ويا
ايه
صعب
دى
مش
هتبقى
صعب
الى
اعش
بعد
الش
رده
فى
حبى
ليه
فى
ايد
ايه
ان
حمل
ادر
ايه
جرى
قدرش
انا
عمل
زى
ناس
ينس
خلص
قدرش
انا
تخل
اعش
غير
بكر
فسى
حمل
كتر
وبس
هود
فسى
بنى
حلم
بخف
يهد
وان
شوف
يوم
بعد
بين
طرق
بسد
عبى
ده
حيرتى
عنا
غمض
حيه
ويا
ايه
صعب
دى
مش
هتبقى
صعب
الى
اعش
بعد
عيش
سلم",نادر عبدالله,وليد سعد,2010,negative,fear,ليه
فاكر,"فاكر
فاكر
فاكر
فاكر يا حبيبي في يوم ما سبتني أمشي ودموعي في عيني
يومها أنا بالذات جتلك عشان إنت اللي بتقويني
وبدل ما أهدى وأرتاح وأنا جوا حضنك أو تطمن عيني كده وتدفيني
ألقاك إنت بتبكيني
فاكر يا حبيبي في يوم ما سبتني أمشي ودموعي في عيني
يومها أنا بالذات جتلك عشان إنت اللي بتقويني
وبدل ما أهدى وأرتاح وأنا جوا حضنك أو تطمن عيني كده وتدفيني
ألقاك إنت بتبكيني
تسأل عليا ليه، هو احنا لسه إحنا؟
مستني مني إيه؟ ملامحنا مش ملامحنا
دلوقتي بينا إيه غير ذكرى بتجرحنا؟
ما هي دنيا بتفرحنا لحظة والباقي بتدبحنا
تسأل عليا ليه، هو احنا لسه إحنا؟
مستني مني إيه؟ ملامحنا مش ملامحنا
دلوقتي بينا إيه غير ذكرى بتجرحنا؟
ما هي دنيا بتفرحنا لحظة والباقي بتدبحنا
عايز طب نرجع ليه؟ هو أنا مش نفسي نرجع تاني؟
بس الحياة طب مين سابها ورجع يعيشها حتى ثواني
لو يوم جربت تكون، وده صعب جدا لو تكون في مكاني
وتعيش حرماني وتدوق طعم ملهوش تاني
عايز طب نرجع ليه؟ هو أنا مش نفسي نرجع تاني؟
بس الحياة طب مين سابها ورجع يعيشها حتى ثواني
لو يوم جربت تكون، وده صعب جدا لو تكون في مكاني
وتعيش حرماني وتدوق طعم ملهوش تاني
تسأل عليا ليه، هو احنا لسه إحنا؟
مستني مني إيه؟ ملامحنا مش ملامحنا
دلوقتي بينا إيه غير ذكرى بتجرحنا؟
ما هي دنيا بتفرحنا لحظة والباقي بتدبحنا
تسأل عليا ليه، هو احنا لسه إحنا؟
مستني مني إيه؟ ملامحنا مش ملامحنا
دلوقتي بينا إيه غير ذكرى بتجرحنا؟
ما هي دنيا بتفرحنا لحظة والباقي بتدبحنا
فاكر
تسأل عليا ليه
اغنية فاكر
فاکر
فاعل",https://lyricstranslate.com/en/elissa-%D9%81%D8%A7%D9%83%D8%B1-lyrics.html,"فكر
فكر
فكر
فكر
حبيبى
فى
يوم
تنى
مشى
دموعى
فى
عينى
يوم
انا
ذات
جتل
عشن
انت
الى
قوينى
بدل
هدى
راح
ونا
جوا
حضن
او
تطم
عينى
كده
دفينى
قاك
انت
كينى
فكر
حبيبى
فى
يوم
تنى
مشى
دموعى
فى
عينى
يوم
انا
ذات
جتل
عشن
انت
الى
قوينى
بدل
هدى
راح
ونا
جوا
حضن
او
تطم
عينى
كده
دفينى
قاك
انت
كينى
تسل
علا
ليه
احن
لسه
احن
سنى
منى
ايه
لمح
مش
لمح
دلوقتى
بين
ايه
ذكرى
جرح
هى
دنا
فرح
لحظ
بقى
دبح
تسل
علا
ليه
احن
لسه
احن
سنى
منى
ايه
لمح
مش
لمح
دلوقتى
بين
ايه
ذكرى
جرح
هى
دنا
فرح
لحظ
بقى
دبح
عيز
طب
رجع
ليه
انا
مش
فسى
رجع
تنى
حيه
طب
مين
ساب
رجع
يعش
ثنى
يوم
جرب
تكون
وده
صعب
جدا
تكون
فى
كنى
تعش
حرمانى
تدق
طعم
لهش
تنى
عيز
طب
رجع
ليه
انا
مش
فسى
رجع
تنى
حيه
طب
مين
ساب
رجع
يعش
ثنى
يوم
جرب
تكون
وده
صعب
جدا
تكون
فى
كنى
تعش
حرمانى
تدق
طعم
لهش
تنى
تسل
علا
ليه
احن
لسه
احن
سنى
منى
ايه
لمح
مش
لمح
دلوقتى
بين
ايه
ذكرى
جرح
هى
دنا
فرح
لحظ
بقى
دبح
تسل
علا
ليه
احن
لسه
احن
سنى
منى
ايه
لمح
مش
لمح
دلوقتى
بين
ايه
ذكرى
جرح
هى
دنا
فرح
لحظ
بقى
دبح
فكر
تسل
علا
ليه
اغن
فكر
فکر
فعل",احمد مرزوق,محمد رحيم,2012,positive,joy,ايه
فل الحكى,"فل الحكى
فل الحكى
فل الحكى
عم بتشتي ذكريات
وميات الشتي دمعات
من بعدك مافي حياة
مش حلوي الديني
حالف ما يجي الربيع
ويبقى أيلول الحزين
من بعدك حبيبي مين
فيي بيعتني؟
يا عمري صحاني الشتي
فيق عيوني عالبكي
وعى حنيني عالسكت
جربت احكي وما قدرت
يمكن معك فل الحكي
قبال الموقدة والنار
عم بتذكرني شو صار
أيدي حرقتا حتى تغار
وتغمرني أيدي
ليش الشتي والاحباب
إلي راحوا صارو غياب
تجمعوا كلن بكتاب
بالسنة الجديدة
غفيت درفة الشباك
ومتلي جربت تنساك
يا بابي منو وراك
خليك مسكر
هيدي مش أول شتويي
غيابك ببكي عينيي
هيك الشتي بيعمل فيي
دغري بتأثر
فل الحكى",https://lyricstranslate.com/en/elissa-fal-el-haki-lyrics.html,"فل
حكى
فل
حكى
فل
حكى
عم
شتى
ذكر
ومي
شتى
دمع
بعد
افى
حيه
مش
حلى
دينى
حلف
يجى
ربع
بقى
يلل
حزن
بعد
حبيبى
مين
فيى
عنى
عمرى
صحنى
شتى
فيق
عيونى
عالبكى
وعى
حنينى
علس
جرب
حكى
قدر
يمكن
معك
فل
حكى
قبل
وقد
نار
عم
ذكرنى
شو
يدى
حرق
تغر
غمرنى
يدى
ليش
شتى
حبب
الى
راح
صرو
غيب
جمع
كلن
كتب
سنه
جدد
غفت
درف
شبك
تلى
جرب
تنس
ببى
منو
ورك
خلك
سكر
هيدى
مش
اول
شتويى
غيب
بكى
عينيى
هيك
شتى
عمل
فيى
دغرى
تثر
فل
حكى",يوسف سليمان,صلاح الكردى,2016,neutral,surprise,بعد
فى شىء انكسر ,"فى شىء انكسر
فى شىء انكسر
فى شىء انكسر
بيني انا وبينك خلص في شئ انكسر
ما بسألك ميـن انهزم ميـن انتصــــر
هَمِّــــي أَنَــــا بِالــلَّيْلِ ينْسَــانِي الْأَلَمْ
دَوِّبْ مَعَــــي النِّسِيَانْ لَحْظَاتِ النَّدَمْ
لَمِينْ بِشْكِي هَـمُّ قَلْبِي الْلِي انْظَلَمْ...
صَعبِة النَغَمْ مَا يْحَنْ ع غيابِ الْوَتَرْ
بَيْنِي أَنَا وْبَيْنَكْ خَلَصْ فِي شِي انْكَسَرْ
مَا بِسْأَلَكْ مِيـنْ إِنْهَزَمْ مِيينْ إِنْتَصَــــرْ
لُوْ بَاقَي عَنْدِي مِنَّكِ شُوَيِّـــــةَ امَـــــلْ
بُصْبُرْ عَلَيْكْ وُبَحْمُلِ الْـمَا بِينْحَمَـــــل
لَكِنْ إِنِتْ مَلَّيْتْ شُـــــــو بْخَافِ الْمَلَلْ
أَهْوَنْ عَلَيِّي اللُّومْ يَا مَحْلَا الزَّعَـــــل
بيني انا وبينك خلص في شئ انكسر
مــا بسألك مين انهزم ميــن انتصــر
صُوتِي نَدَهْلَكْ مَا تَرَكْ عَنْدَكْ صَدَى
فِي شِي انْتَهَى بَيْنَتْـــنَا لَمَّــــــا ابْتَدَى
بَعدَكْ أَنَا شُو بْخَـــافْ مَا صَدِّقَ حَدَا
يُمْرُق عَلَيِّي الشُّوقُ، يُهُرُبْ عَ اِلْهَدَى
بيني انا وبينك خلص في شئ انكسر
مـا بسألك مين انهزم ميــن انتصــر
فى شىء انكسر",https://lyricstranslate.com/en/elissa-fi-shi-enkassar-lyrics.html,"فى
شىء
كسر
فى
شىء
كسر
فى
شىء
كسر
ينى
انا
وبن
خلص
فى
شئ
كسر
بسل
يـن
هزم
يـن
صـر
همـى
انـ
ـلل
ـنى
الم
دوب
عـى
نسي
لحظ
ندم
لمن
شكى
هـم
قلبى
الى
ظلم
صعب
نغم
يحن
غيب
وتر
ينى
انا
وبن
خلص
فى
شى
كسر
بسل
يـن
هزم
مين
صـر
بقى
عندى
منك
شوـ
مـل
صبر
حمل
ـما
حمـل
انت
ليت
شـو
بخف
لمل
اهن
على
الم
حلا
زعـل
ينى
انا
وبن
خلص
فى
شئ
كسر
مـا
بسل
مين
هزم
يـن
صـر
صوتى
دهل
عند
صدى
فى
شى
نهى
نتـ
لمـ
بدى
بعد
انا
شو
خـف
صدق
حدا
مرق
على
شوق
هرب
هدى
ينى
انا
وبن
خلص
فى
شئ
كسر
مـا
بسل
مين
هزم
يـن
صـر
فى
شىء
كسر",مروان خورى,مروان خورى,2009,positive,fear,فى
في اول الحكايات,"في اول الحكايات
في اول الحكايات
في اول الحكايات
في أول الحكايات حكايتي معاك
بقالي زمان واخدني هواك
و جوه في قلبي ليك أيام ما بتتنسيش
و آخر الحكايات حكايتي معاك
خلاص حبيت وأنا اتحبيت
و عايشة معك كأني أول مرة أعيـش
أحلف بإيه أول ما دق القلب دق القلب ليك
أحلف بإيه أول ما قلت أحب كانت بين إديك
أيامي قبلك تسوى إيه؟
وحياتي بعدك أعيشها ليه؟
حكايتنا لو يا حبيبي حلم
يا ريت تسيبني عايشة فيه
في اول الحكايات
مثل تو",https://lyricstranslate.com/en/elissa-hikayti-maak-lyrics.html-0,"فى
اول
حكي
فى
اول
حكي
فى
اول
حكي
فى
اول
حكي
حكايتى
عاك
قلى
زمن
خدنى
هوك
جوه
فى
قلبى
ليك
ايم
نسش
اخر
حكي
حكايتى
عاك
خلص
حبت
ونا
تحب
عيش
معك
كنى
اول
مره
عيـش
حلف
بيه
اول
دق
قلب
دق
قلب
ليك
حلف
بيه
اول
قلت
احب
كانت
ادك
يمى
قبل
تسى
ايه
حيتى
بعد
اعش
ليه
حكي
حبيبى
حلم
ريت
بنى
عيش
فى
اول
حكي
تو",نادر عبدالله,تامر عاشور,2006,positive,surprise,فى
في عيونك,"في عيونك
في عيونك
في عيونك
فى عيونك لغز واسرار
فى عيونك رحلة ومشوار
قلبى ده شاعر كلمات
عنده مشاعر همسات
شعرى قصايد ابيات جوا عيونك
انا ممكن اضيع عمرى واضيع روحى واضيع ف عيونك
ف عيونك حسيت بامان
ف عيونك قلبى انا غرقان
على كيفك ودينى على كيفك
ونادينى وارمينى وخلينى ف عيونك
لو حد عايزنى ف حاجة بجد يحلفنى بعيونك
اه تعالى اتصالح على نفسى وانا وياك
واعيش جوا سلام ايدك واموت وانا بهواك
تعالى اتصالح على... نفسى وانا وياك
واعيش جوا سلام ايدك واموت وانا بهواك
والحياه ف هواك تبقى حياه
ف عيونك الشرق وليله وسحره
ف عيونك الغرب نسيمه وبحره
باتغرب ف بلاد
واجمع كل ورود بغداد
علشان عندى الليلة معاد
جوا عيونك تيجى نسمة من بيروت
على خدى تفوت توحشنى عيونك
ف عيونك وطنى وبلادى
ف عيونك ارضى وميلادى
وحياتك دفينى و ف ذاتك خبينى
من العالم واحمينى ف عيونك
وعلى ورقة ياسمينة اكتب اسامينا حرفها بلونك
اه تعالى اتصالح على نفسى وانا وياك
واعيش جوا سلام ايدك واموت وانا بهواك
تعالى اتصالح على نفسى وانا وياك
واعيش جوا سلام ايدك واموت وانا بهواك
والحياه ف هواك تبقى حياه
في عيونك
(أمنية)
(أمنية)
(أمنية)",https://lyricstranslate.com/en/elissa-fe-ayounak-%D9%81%D9%8A-%D8%B9%D9%8A%D9%88%D9%86%D9%83-lyrics.html,"فى
عين
فى
عين
فى
عين
فى
عين
لغز
سرر
فى
عين
رحل
شور
قلبى
ده
شعر
كلم
عند
شعر
همس
شعرى
قصيد
ابي
جوا
عين
انا
مكن
اضع
عمرى
اضع
روحى
اضع
عين
عين
حست
بام
عين
قلبى
انا
غرق
كيف
دينى
كيف
دينى
رمينى
خلينى
عين
حد
عايزنى
حجه
بجد
حلفنى
بعو
اه
على
صلح
فسى
ونا
ويك
اعش
جوا
سلم
ايد
ومت
ونا
بها
على
صلح
فسى
ونا
ويك
اعش
جوا
سلم
ايد
ومت
ونا
بها
حيه
هوك
بقى
حيه
عين
شرق
ولل
سحر
عين
غرب
نسم
بحر
غرب
بلد
جمع
ورد
غدد
علش
عندى
يله
عاد
جوا
عين
يجى
نسم
يرو
خدى
تفت
حشنى
عين
عين
طنى
لدى
عين
رضى
ميلادى
وحا
دفينى
ذتك
خبينى
علم
حمينى
عين
على
ورق
يسم
كتب
سمي
حرف
بلن
اه
على
صلح
فسى
ونا
ويك
اعش
جوا
سلم
ايد
ومت
ونا
بها
على
صلح
فسى
ونا
ويك
اعش
جوا
سلم
ايد
ومت
ونا
بها
حيه
هوك
بقى
حيه
فى
عين
امن
امن
امن",محمد رحيم,محمد رحيم,2012,negative,joy,فى
